A,B,C,target
0,0,100,0
0,5,95,0.294212617
0,10,90,0.273909417
0,15,85,0.183268353
0,20,80,0
0,25,75,0.205665488
0,30,70,0.244142051
0,35,65,0.248431657
0,40,60,0
0,45,55,0.344805575
0,50,50,0.341485263
0,55,45,0.335235263
0,60,40,1
0,65,35,0.824568141
0,70,30,0.920400231
0,75,25,0.92555293
0,80,20,1
0,85,15,0.898689993
0,90,10,0.923109962
0,95,5,0.929099545
0,100,0,1
5,0,95,1
5,0,95,0.837367379
5,5,90,0.837367379
5,10,85,0.720591641
5,15,80,0.710798115
5,19,76,1
5,20,75,0.762911159
5,25,70,0.680799924
5,30,65,0.71916798
5,35,60,0.735870781
5,38,57,1
5,40,55,0.816619698
5,45,50,0.785369698
5,50,45,0.791424386
5,55,40,0.940039456
5,57,38,1
5,60,35,0.922417929
5,65,30,0.931199864
5,70,25,0.937133812
5,75,20,0.936352562
5,76,19,1
5,80,15,0.909489625
5,85,10,0.933909594
5,90,5,0.939899178
5,95,0,1
10,0,90,1
10,5,85,0.787769841
10,10,80,0.774360024
10,15,75,0.790640716
10,18,72,1
10,20,70,0.748943306
10,25,65,0.706530112
10,30,60,0.76604298
10,35,55,0.863494698
10,36,54,1
10,40,50,0.832244698
10,45,45,0.825994698
10,50,40,0.940039456
10,54,36,1
10,55,35,0.922417929
10,60,30,0.952401805
10,65,25,0.937133812
10,70,20,0.937133812
10,72,18,1
10,75,15,0.910114625
10,80,10,0.933909594
10,85,5,0.939899178
10,90,0,1
15,0,85,0.787769841
15,5,80,0.787769841
15,10,75,0.800434243
15,15,70,0.722904481
15,20,65,0.720905112
15,25,60,0.706530112
15,30,55,0.815541897
15,35,50,0.832244698
15,40,45,0.825994698
15,45,40,0.927734769
15,50,35,0.922417929
15,55,30,0.952401805
15,60,25,0.958335754
15,65,20,0.937133812
15,70,15,0.910895875
15,75,10,0.934534594
15,80,5,0.939899178
15,85,0,0.938940131
20,0,80,0
20,5,75,0.219659936
20,10,70,0.138513884
20,15,65,0.100682163
20,16,64,0
20,20,60,0.114741822
20,25,55,0.16082282
20,30,50,0.194861094
20,32,48,0
20,35,45,0.252188895
20,40,40,0.765061721
20,45,35,0.784549569
20,48,32,1
20,50,30,0.919276748
20,55,25,0.935822676
20,60,20,0.935822676
20,64,16,0.5
20,65,15,0.888382798
20,70,10,0.912802767
20,75,5,0.918011101
20,80,0,0.8
25,0,75,0.188409936
25,5,70,0.120673701
25,10,65,0.07922569
25,15,60,0.069432163
25,20,55,0.14394782
25,25,50,0.12957282
25,30,45,0.157361094
25,35,40,0.749436721
25,40,35,0.768924569
25,45,30,0.919276748
25,50,25,0.937189864
25,55,20,0.935822676
25,60,15,0.909584739
25,65,10,0.912802767
25,70,5,0.918792351
25,75,0,0.917052054
30,0,70,0
30,5,65,0.092635507
30,10,60,0.07922569
30,14,56,0
30,15,55,0.129888161
30,20,50,0.14394782
30,25,45,0.12332282
30,28,42,0
30,30,40,0.693619337
30,35,35,0.775174569
30,40,30,0.925526748
30,42,28,1
30,45,25,0.944741947
30,50,20,0.944741947
30,55,15,0.917136823
30,60,10,0.941556792
30,65,5,0.926344434
30,70,0,0.925385387
35,0,65,0.092635507
35,5,60,0.092635507
35,10,55,0.123823023
35,15,50,0.129888161
35,20,45,0.13769782
35,25,40,0.560470827
35,30,35,0.713107184
35,35,30,0.925526748
35,40,25,0.944741947
35,45,20,0.944741947
35,50,15,0.91850401
35,55,10,0.941556792
35,60,5,0.940088989
35,65,0,0.925385387
40,0,60,0
40,5,55,0.149928153
40,10,50,0.123823023
40,12,48,0
40,15,45,0.123638161
40,20,40,0.574845827
40,24,36,0
40,25,35,0.579958675
40,30,30,0.900735082
40,35,25,0.944741947
40,36,24,1
40,40,20,0.944741947
40,45,15,0.91850401
40,50,10,0.942923979
40,55,5,0.940088989
40,60,0,0.939129942
45,0,55,0.149928153
45,5,50,0.149928153
45,10,45,0.117573023
45,15,40,0.560786168
45,20,35,0.594333675
45,25,30,0.767586572
45,30,25,0.919950281
45,35,20,0.944741947
45,40,15,0.91850401
45,45,10,0.942923979
45,50,5,0.941456176
45,55,0,0.939129942
50,0,50,0.4
50,5,45,0.348169519
50,10,40,0.5
50,15,35,0.683999451
50,20,30,0.6
50,25,25,0.824671943
50,30,20,1
50,35,15,0.91850401
50,40,10,1
50,45,5,0.941456176
50,50,0,1
55,0,45,0.362752853
55,5,40,0.72137746
55,10,35,0.646794398
55,15,30,0.786240835
55,20,25,0.839046943
55,25,20,0.824671943
55,30,15,0.909096959
55,35,10,0.942923979
55,40,5,0.941456176
55,45,0,0.94049713
60,0,40,1
60,5,35,0.789317578
60,8,32,1
60,10,30,0.783894303
60,15,25,0.819922239
60,16,24,1
60,20,20,0.873044398
60,25,15,0.841806461
60,30,10,0.940030408
60,32,8,1
60,35,5,0.947969657
60,40,0,1
65,0,35,0.778900912
65,5,30,0.889944379
65,10,25,0.78791419
65,15,20,0.819922239
65,20,15,0.856181461
65,25,10,0.85841393
65,30,5,0.93099049
65,35,0,0.943989777
70,0,30,1
70,5,25,0.893964266
70,6,24,1
70,10,20,0.78791419
70,12,18,0
70,15,15,0.803059302
70,20,10,0.87278893
70,25,5,0.83888294
70,30,0,1
75,0,25,0.879321409
75,5,20,0.893964266
75,10,15,0.771051252
75,15,10,0.819666771
75,20,5,0.85325794
75,25,0,0.816699935
80,0,20,1
80,4,16,1
80,5,15,0.877101329
80,8,12,1
80,10,10,0.786486847
80,15,5,0.815760781
80,16,4,1
80,20,0,1
85,0,15,0.862458471
85,5,10,0.892536923
85,10,5,0.766955857
85,15,0,0.774865971
90,0,10,1
90,2,8,1
90,4,6,1
90,5,5,0.734274592
90,6,4,0.5
90,8,2,0.3
90,10,0,0.2
95,0,5,0.728013432
95,5,0,0.675745854
100,0,0,0
